timestamp,frame_count,left_eye_x,left_eye_y,right_eye_x,right_eye_y,avg_eye_x,avg_eye_y,nose_x,nose_y,predicted_x,predicted_y,smoothed_x,smoothed_y,cursor_x,cursor_y,face_detected,left_ear,right_ear,blink_detected,smoothing_enabled,gain,mode
2025-11-19T09:19:45.472729,1,0.5885882293682432,0.42627412754867194,0.5354160202561434,0.27386276196582643,0.5620021248121934,0.3500684447572492,0.5096477270126343,0.7108784317970276,1919,986,1919,986,1919,986,True,0.2375303081472921,0.15441988604405205,False,True,1.0,tracking
2025-11-19T09:19:46.569947,2,0.5038336047722263,0.32555961353156965,0.4001980498016693,0.40697071613900115,0.4520158272869478,0.3662651648352854,0.50837242603302,0.7129512429237366,1758,1007,1758,1007,1758,1007,True,0.3003671842297716,0.30475307487066083,False,True,1.0,tracking
2025-11-19T09:19:47.659997,3,0.5951853707790615,0.3090621217014407,0.4704613268203789,0.34632797487457256,0.5328233487997203,0.32769504828800666,0.5098274350166321,0.7134437561035156,1203,905,1203,905,1203,905,True,0.3107152958731566,0.299387132643708,False,True,1.0,tracking
2025-11-19T09:19:48.724339,4,0.6475677645901214,0.27271338444879434,0.5512745224633052,0.4010011585291497,0.5994211435267134,0.33685727148897204,0.5106278657913208,0.7133124470710754,1541,769,1541,769,1541,769,True,0.3156776272437705,0.3208830485449826,False,True,1.0,tracking
2025-11-19T09:19:49.806718,5,0.6000708276934749,0.3763603066320956,0.5090008969414349,0.3576764142139341,0.5545358623174549,0.36701836042301483,0.5108134746551514,0.71473628282547,1607,858,1607,858,1607,858,True,0.2734149538289178,0.23519075140225942,False,True,1.0,tracking
2025-11-19T09:19:50.895946,6,0.6257825290119974,0.3591567115765861,0.5430816501412273,0.3876265941783693,0.5844320895766124,0.37339165287747766,0.5094898343086243,0.715226411819458,1698,996,1698,996,1698,996,True,0.25445078458712994,0.23326074638012184,False,True,1.0,tracking
2025-11-19T09:19:51.990461,7,0.42772990705169533,0.365611691421441,0.37996611157725085,0.3920497178540714,0.40384800931447307,0.3788307046377562,0.5051186084747314,0.7165287137031555,1586,1000,1586,1000,1586,1000,True,0.3117403040330357,0.322290543225641,False,True,1.0,tracking
2025-11-19T09:19:53.064412,8,0.4339878706817012,0.3466249941087605,0.3737797461232532,0.394240922460642,0.4038838084024772,0.37043295828470124,0.5056434869766235,0.7134653925895691,266,1079,266,1079,266,1079,True,0.3205973840693997,0.30939554838962957,False,True,1.0,tracking
2025-11-19T09:19:54.139822,9,0.5210207913315142,0.2848791723083632,0.44477873951687896,0.34437460070741016,0.4828997654241966,0.31462688650788667,0.5035278797149658,0.7137022018432617,233,1004,233,1004,233,1004,True,0.2980034042119783,0.2952240601384961,False,True,1.0,tracking
2025-11-19T09:19:55.246265,10,0.5228183899715695,0.2931843842872922,0.44613790567997935,0.33470822391078653,0.4844781478257744,0.31394630409903934,0.5093017220497131,0.7080501914024353,605,894,605,894,605,894,True,0.31000482278616176,0.3013793728424234,False,True,1.0,tracking
2025-11-19T09:19:56.352680,11,0.5004412876340243,0.2511122744418933,0.49165681578209264,0.35159035336791195,0.49604905170805846,0.30135131390490266,0.5201786756515503,0.6933349967002869,841,745,841,745,841,745,True,0.12794862657453027,0.12005213313501775,False,True,1.0,tracking
2025-11-19T09:19:57.489777,12,0.5221993755868717,0.34433651935867776,0.4436118569032551,0.401050434340141,0.4829056162450634,0.37269347684940934,0.5234124064445496,0.686955451965332,834,593,834,593,834,593,True,0.3058536670636256,0.2737255816439024,False,True,1.0,tracking
2025-11-19T09:19:58.504837,13,0.5150017305885304,0.3333616738652725,0.45747109200152497,0.3575215266212665,0.4862364112950277,0.34544160024326953,0.5266522169113159,0.6913905739784241,864,527,864,527,864,527,True,0.29896414721815495,0.2578003171582721,False,True,1.0,tracking
2025-11-19T09:19:59.537021,14,0.5459080523851224,0.35246348042967596,0.4800050109741698,0.33682512120208874,0.512956531679646,0.3446443008158824,0.5229203701019287,0.6914972066879272,1111,537,1111,537,1111,537,True,0.2914515992480352,0.24969352201502382,False,True,1.0,tracking
